--
-- PostgreSQL database dump
--

-- Dumped from database version 12.3
-- Dumped by pg_dump version 12.4 (Ubuntu 12.4-0ubuntu0.20.04.1)

SET statement_timeout = 0;
SET lock_timeout = 0;
SET idle_in_transaction_session_timeout = 0;
SET client_encoding = 'UTF8';
SET standard_conforming_strings = on;
SELECT pg_catalog.set_config('search_path', '', false);
SET check_function_bodies = false;
SET xmloption = content;
SET client_min_messages = warning;
SET row_security = off;

--
-- Data for Name: coins; Type: TABLE DATA; Schema: public; Owner: gigalixir_admin
--

COPY public.coins (id, name, file_dir, set_id, in_circulation, weight, value, is_error) FROM stdin;
12	Burmese Dwarf Stickleback	paradoxus-toothpick	4	t	974	5.41119436548694	f
82	Sodapoppin	soda	16	t	934	5.93206797365065	f
43	Pac-man	pacman	9	t	949	5.070180963225781	f
50	Caste Separation Protest	fall-of-constantinople	11	f	762	13.560832021051619	t
52	D-Day	hidenburg	11	f	969	6.594470339445713	t
96	Brendan	dassey	18	t	825	8.904471714389071	f
53	The Fall of Constantinople	normandy	11	f	852	9.701356544566172	t
14	Chequered Gudgeon	purple-morgurnda	4	t	994	4.581981808220755	f
51	Hidenburg	ghandi-caste-seperation	11	f	807	11.416438624732189	t
90	Joe	exotic	18	t	787	9.573761051940355	f
45	A Dream	a-dream	11	t	994	4.92138786808896	f
100	Hindenburg	hidenburg	11	t	969	5.495391949538094	f
19	Chupacabra	chupacabra	6	t	886	6.709738818968876	f
33	Ramirez	ramirez	8	t	818	8.83053134605502	f
36	Trebuchet	trebuchet	8	t	812	8.716430932535385	f
59	Emily Haines	metric	13	t	820	8.463796714112293	f
3	Homie	homie	2	t	773	10.825090169699457	f
15	Sawbwa Barb	rummy-nose-rasbora	4	t	840	8.154716913220314	f
73	CDNthe3rd	ceez	16	t	848	7.652779923471503	f
6	The Art of Seduction	rp	2	t	842	8.375943320514207	f
54	Woodstock '69	woodstock	11	t	905	6.295946708858505	f
8	Great Angles	worm	2	t	957	5.704718132655263	f
97	The Fall of Constantinople	fall-of-constantinople	11	t	762	10.924003572513804	f
65	Donald Glover jr	gambino	14	t	766	10.382943053040092	f
56	Matt Shultz	cage	13	t	909	6.435097002721009	f
57	Thomas & Guy	daft	13	t	764	10.090958917006356	f
26	Lahabrea	ascian	8	t	762	10.924003572513804	f
30	Meat Boy	meat	8	t	968	5.328692699075371	f
66	Lassi Kotamaki	idealism	14	t	964	5.395300591678581	f
20	Dover Demon	dover-demon	6	t	786	9.61034863428791	f
18	Bigfoot	bigfoot	6	t	956	5.531884076761173	f
42	Jeanette	jeanette	9	t	960	5.086263020833334	f
34	Steve	steve	8	t	929	5.82049122703404	f
40	Terrorist	csgo-t	9	t	866	7.442058361085639	f
9	Zach & I	zach-i	2	t	913	6.131891311870849	f
